SID,bp_delta_abs_mean_W_C,bp_delta_rel_mean_W_C,bp_theta_abs_mean_W_C,bp_theta_rel_mean_W_C,bp_alpha_abs_mean_W_C,bp_alpha_rel_mean_W_C,bp_delta_abs_mean_N1_C,bp_delta_rel_mean_N1_C,bp_theta_abs_mean_N1_C,bp_theta_rel_mean_N1_C,bp_alpha_abs_mean_N1_C,bp_alpha_rel_mean_N1_C,bp_delta_abs_mean_N2_C,bp_delta_rel_mean_N2_C,bp_theta_abs_mean_N2_C,bp_theta_rel_mean_N2_C,bp_alpha_abs_mean_N2_C,bp_alpha_rel_mean_N2_C,bp_delta_abs_mean_N3_C,bp_delta_rel_mean_N3_C,bp_delta_abs_slope_N3_C,bp_theta_abs_mean_N3_C,bp_theta_rel_mean_N3_C,bp_alpha_abs_mean_N3_C,bp_alpha_rel_mean_N3_C,bp_delta_abs_mean_R_C,bp_delta_rel_mean_R_C,bp_theta_abs_mean_R_C,bp_theta_rel_mean_R_C,bp_alpha_abs_mean_R_C,bp_alpha_rel_mean_R_C
bi0001,16.571175147137417,0.22481897022269523,14.402354306067028,0.1639055946070033,13.825635582159068,0.14065682371398747,13.682693804159257,0.30276654047841384,12.552983616807488,0.2360839694974377,10.989838234693627,0.16963465901147493,17.928652627954474,0.3941209315487083,13.094110079621196,0.13879339135066301,10.330412416872598,0.07706391940176846,21.009469676120073,0.35760424495748555,-0.7678596879521631,12.798718302511503,0.0561394448956293,9.652608672711883,0.02754726644444558,13.759121389603509,0.37784935053092145,10.52924076010148,0.18994602224355187,8.439321099144204,0.12000007980258183
bi0002,16.699501262904615,0.2681048475429302,12.259626887650619,0.09901233280907197,13.853443101991754,0.15981575666720882,11.352947908213057,0.2992557385047454,8.247980288226284,0.14809695662435454,8.571267126701315,0.16356462537185798,15.230767067850952,0.3701812057681827,9.53245490641751,0.10636865418625154,8.756046088084391,0.09232339512549594,18.66371284820487,0.3197359013206022,-0.18883057794471403,9.600136534031307,0.04020850307611174,7.940703172527662,0.02779222380585854,,,,,,
bi0003,17.259392067844132,0.30863832341065467,13.714150428230523,0.15675875045914692,12.401771397327309,0.11296173833491162,13.132066921375754,0.2920735413429302,12.014074299847765,0.2383591412704902,9.504222889537445,0.1328220089299725,16.8726449095949,0.41645808597577166,12.76334198345469,0.17295328560281104,8.28994495302475,0.06439383131475124,20.58032355164288,0.41972280171166837,0.02669856340145679,11.929921833627745,0.059196408820525195,5.375813315295238,0.013626344105868528,13.61544691454809,0.3102984107086481,10.637234121501027,0.17245699962794633,8.50109181709196,0.10599378871090331
bi0004,12.87773032801666,0.10727502437450542,17.436881919848982,0.2812350846403104,16.97700988793685,0.2564330245811786,,,,,,,14.744115212678247,0.19653106540008017,15.838841431077352,0.23920712705590444,15.340968851653578,0.2097839700879106,,,,,,,,,,,,,
bi0007,17.06465910352956,0.2847825771796656,13.287673907785262,0.13689986373260588,12.924341335226293,0.12861463747786395,14.802025499931458,0.30676469168322923,11.857301994359343,0.16174824271885926,11.501874068379653,0.15340407429725494,17.114636692967753,0.3482292038337249,13.147559051321801,0.14607255860675084,12.137946340397583,0.11930329540342664,21.733776186994977,0.3517587016144448,-0.5225774143668901,15.117275106053015,0.07882964055339474,12.072783608138861,0.04012468190131751,13.396780422263477,0.3428787822383947,10.434160278765765,0.1762563783717902,9.086814040209436,0.12971578637257264
bi0008,17.61587734436686,0.2736784556672956,12.55957954837369,0.09713949507907209,13.12719728604255,0.12466334029239258,15.297831950429396,0.2852143767503987,12.341742701582586,0.1594087629609859,12.551784869702777,0.17048191440341573,18.224464055387152,0.32808564180255884,13.162020494948734,0.11071836902703201,13.058071720191604,0.1117745574964809,22.44037354900297,0.29686529372125775,0.4771078918854484,15.002975642454917,0.05786675890648695,14.402983927410332,0.051734234799616384,15.49189587477351,0.3291192905405928,11.660285169538847,0.14329806306750714,11.3093029463994,0.13838847013481143
bi0010,14.954664450677493,0.28018764838269355,8.949510516399002,0.07195358595998286,7.9132481266837855,0.05921790914369542,13.371665846836686,0.2689878768928485,8.63859516404725,0.09719313395255894,6.525029109292342,0.06012966725350846,15.370643753948512,0.3608739371786634,9.728555053838273,0.10489159082806562,6.94304815024035,0.05787728323401387,,,,,,,,13.189936851476906,0.3172814241785834,7.940132243447194,0.10514553524844401,5.043211357543963,0.05421652268749421
bi0013,16.382284448561307,0.33758545783661215,12.01233668027961,0.13231871005825557,11.569546525910985,0.1311983170233631,14.22300779467633,0.3436627110037808,11.709180507313823,0.19339512545305718,10.718534978733755,0.15818506314708605,17.4512776021588,0.40316373300503755,12.93005504390046,0.1483314143463506,9.989858427171615,0.08366050795183934,21.311579899734223,0.37339342121351443,-0.5472773922122797,13.46031391552119,0.06320122130661467,7.358291756872173,0.01595639606876502,14.841095452431516,0.39211991216389286,11.366370346931209,0.1794396581889991,8.957395152490864,0.10865464234913537
bi0014,17.207157044897354,0.3413360331508253,11.313223751464733,0.09502031284766024,12.972950830745276,0.14179068489056962,15.074742998406315,0.3634716661169589,12.30612706113639,0.19228655538802147,11.166096720904308,0.15124152195298346,18.738832014917353,0.47827159808741027,12.917388453515809,0.12967331460984743,10.018734502102957,0.07240702321527426,21.894446152449266,0.4895661885804393,-0.18829898156081937,13.12117627854048,0.06717857536966093,7.509437425390664,0.01970030583917578,14.920527767225177,0.3947225915627082,11.034656939296662,0.1676975773679903,9.035461683849253,0.1055941758749587
bi0015,15.512074369138345,0.27183076591350663,11.174621036953466,0.09767966394602726,12.48250744131793,0.15092273215689692,12.313743039209584,0.3364599685128227,9.317448203378113,0.16910697698182264,8.409077328382333,0.1420171613381611,17.222872606814754,0.42286214961062324,12.036122369629526,0.13176090268254434,10.357545895634704,0.09200183269205132,21.315839016128265,0.39808422733701887,-0.47584944404783697,13.742251376930641,0.07069530413405743,11.228858432406302,0.040117825559805136,12.671376169608038,0.3732998803214405,9.694848742634536,0.19081686434739256,5.7401660620914665,0.07825940617815492
bi0018,17.69937443501832,0.34038575131597404,12.657751351241576,0.116160072339366,10.870345429268161,0.08738844243158132,14.095885543803993,0.2811325690585786,12.431297589254486,0.19526129519303093,11.929881219481638,0.178632325824503,18.346952384461105,0.43373252343332097,14.31343516942126,0.17316892104725734,12.514120507117191,0.11749809195544758,22.485396635879294,0.47394841428500756,-0.46390337909291374,16.081542432180996,0.11022688065212079,13.65300583003873,0.06445377112217969,14.131298911079197,0.3683065531124289,11.167851434518653,0.1908479417736886,8.81631342245286,0.11512874354388011
bi0023,18.034792095663583,0.3586867295610549,12.394946496744131,0.1066058515855955,10.195308526173386,0.06605586886400347,14.967583867360492,0.3756315390443431,11.545338370301987,0.17472725649408496,8.337078698025076,0.0837764131495932,17.952420286319672,0.4192938660511014,13.199325569058436,0.14436407880439245,9.655578565420736,0.06519676629443026,21.94541748137318,0.40985251773257964,-0.158776952893345,14.311829077113599,0.07287522141456423,9.324839332417001,0.023563242025799264,16.364724921508863,0.4037319393498437,12.12588418295503,0.16053338477625667,7.94134939105553,0.062033540838876224
bi0024,18.99753309122129,0.2584104589685999,14.951360082016649,0.11088413217905861,14.744898563177719,0.11937617796432927,18.59529823213656,0.24821868883079368,14.894611738754953,0.12116749961887735,13.446786730681731,0.09251166815358387,21.094980102952093,0.2962862881211116,14.82269524177478,0.07747806581781765,12.99698792246629,0.05524284805208669,22.159117720191364,0.307476235741902,0.04598860844349905,14.689703446684264,0.05750574386770454,12.246552345400316,0.034654047142861494,16.310203253580756,0.3265196771070023,11.429414564286912,0.11845507262480463,9.999058391215371,0.08957142979569327
